Ticker,Halt_dt,Resume_dt,Halt Duration,Direction,Halt Price,Resumption Price,Percent Change
MLGO,2025-03-26 09:31:45,2025-03-26 09:36:45,5,DOWN,11.850000381469727,11.850000381469727,0.0
ZYBT,2025-03-26 09:35:30,2025-03-26 09:45:30,10,UP,7.659999847412109,8.260000228881836,7.83290330837844
ZYBT,2025-03-26 09:45:58,2025-03-26 09:55:58,10,DOWN,7.429999828338623,6.800000190734863,-8.479133945614507
HCAI,2025-03-26 10:23:55,2025-03-26 10:28:55,5,UP,8.3100004196167,8.329999923706055,0.2406679070935348
GDHG,2025-03-26 10:26:13,2025-03-26 10:36:13,10,UP,4.179999828338623,4.460000038146973,6.698569887732223
LXEH,2025-03-26 12:34:57,2025-03-26 12:39:57,5,UP,14.619999885559082,14.989999771118164,2.530778990802522
