Ticker,Halt_dt,Resume_dt,Halt Duration,Direction,Halt Price,Resumption Price,Percent Change
SKBL,2025-03-19 09:48:52,2025-03-19 09:53:52,5,DOWN,9.611000061035156,9.520000457763672,-0.9468276214086635
SKBL,2025-03-19 09:54:07,2025-03-19 09:59:07,5,DOWN,8.569999694824219,8.5,-0.8167992685751727
SKBL,2025-03-19 09:59:22,2025-03-19 10:09:22,10,DOWN,7.650000095367432,7.699999809265137,0.653591023194668
SKBL,2025-03-19 10:09:55,2025-03-19 10:19:55,10,UP,8.470000267028809,9.0,6.257375634736668
KBSX,2025-03-19 10:11:45,2025-03-19 10:16:45,5,UP,4.309999942779541,4.440000057220459,3.016243994589945
BOWN,2025-03-19 10:17:22,2025-03-19 10:22:22,5,UP,6.75,7.0,3.7037037037037033
SKBL,2025-03-19 10:21:51,2025-03-19 10:26:51,5,UP,10.260000228881836,10.270000457763672,0.09746811558235015
BOWN,2025-03-19 10:22:40,2025-03-19 10:32:41,10,UP,7.699999809265137,8.5,10.389613124045164
BOWN,2025-03-19 10:36:35,2025-03-19 10:41:35,5,DOWN,7.21999979019165,7.039999961853027,-2.4930724871093806
ADTX,2025-03-19 10:54:30,2025-03-19 10:59:30,5,UP,10.399999618530273,10.699999809265137,2.884617324411588
BOWN,2025-03-19 11:01:27,2025-03-19 11:06:27,5,DOWN,7.050000190734863,6.800000190734863,-3.54609919484188
XHLD,2025-03-19 12:02:45,2025-03-19 12:07:45,5,UP,1.2300000190734863,1.2300000190734863,0.0
RGC,2025-03-19 12:54:28,2025-03-19 12:59:28,5,UP,31.360000610351562,32.619998931884766,4.0178517124049185
RGC,2025-03-19 13:10:31,2025-03-19 13:15:31,5,DOWN,28.139999389648438,27.229999542236328,-3.2338303736668217
